yield,current,total,roa,class
0,232.86 ,-51.2,-10.46,0
3.15,329.02 ,-31.09,10.64,1
0,284.37 ,-30.14,-4.65,0
0,112.45 ,-25.08,-6.36,0
0,180.66 ,-23.71,-6.88,0
4.07,170.66 ,-22.72,1.83,1
6.86,341.09 ,-22.1,-4.86,1
1.76,434.27 ,-21.79,-0.68,1
0,2675.96 ,-20.65,-11.57,0
0,35.85 ,-20.48,-3.87,0
0,115.29 ,-19.64,-1.37,0
0,789.71 ,-17.95,-8.39,0
1.06,385.23 ,-17.5,-3.41,0
0,449.95 ,-17.39,-1.28,0
0,160.57 ,-17.02,-4.03,0
2.96,233.06 ,-16.93,1.2,1
0,33.59 ,-16.75,-3.02,0
0,184.22 ,-15.76,-5.61,0
0,667.16 ,-15.6,-10.15,0
0,339.97 ,-15.41,-3.48,0
2.07,282.78 ,-15.37,-2.03,1
0.75,799.61 ,-15.33,-5.52,0
0,100.70 ,-15.32,-0.23,0
0,231.44 ,-15.17,-3.69,0
5.9,135.77 ,-15.13,1.32,1
3.29,201.20 ,-14.79,5.48,1
0.63,125.27 ,-14.66,-0.27,0
2.68,456.98 ,-14.55,7.19,1
0.94,17.88 ,-14,-3.99,0
0,214.14 ,-13.96,0.95,0
2.34,191.94 ,-13.95,-0.1,1
1.38,171.62 ,-13.89,13.27,0
2.36,177.10 ,-13.78,3.19,1
1.13,128.91 ,-13.69,2.8,0
5.77,136.48 ,-13.49,2.61,1
0,252.11 ,-13.45,-4.44,0
3.29,164.18 ,-12.74,7.13,1
5.81,132.57 ,-12.64,0.68,1
2.22,242.31 ,-12.59,-7.44,1
0,235.40 ,-12.27,3.14,0
1.8,188.00 ,-12.16,2.1,1
4.7,287.63 ,-12.11,-3.26,1
1.58,232.41 ,-12.08,3.28,0
0,118.92 ,-11.82,-1.36,0
0,242.66 ,-11.58,-1.93,0
0,109.70 ,-11.44,-0.39,0
0,662.93 ,-11.36,-3.42,0
13.33,177.04 ,-11.34,5.08,1
0,301.76 ,-11.3,0.46,0
